,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
1334,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Manuel Akanji,25,SUI,CB,28-059,90,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,2,0,64c0a6e2
1335,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Matheus Nunes,27,POR,DM,25-020,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1336,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Nathan Aké,6,NED,LB,28-210,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1337,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Oscar Bobb,52,NOR,RW,20-066,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1338,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-111,66,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,64c0a6e2
1339,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Rico Lewis,82,ENG,"AM,FW",18-299,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1340,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Rodri,16,ESP,DM,27-086,90,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,64c0a6e2
1341,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-125,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0,64c0a6e2
1342,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Sergio Gómez,21,ESP,LW,23-012,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,64c0a6e2
1594,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Ederson,31,BRA,GK,30-037,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5dc7e234
1595,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Erling Haaland,9,NOR,FW,23-064,90,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,5dc7e234
1596,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Jack Grealish,10,ENG,CM,28-013,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5dc7e234
1597,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Jeremy Doku,11,BEL,LW,21-119,50,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,5dc7e234
1598,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Joško Gvardiol,24,CRO,"LB,CB",21-243,90,1,0,0,1,0,0,0,,0,1,1,0,2,3,5,0,5dc7e234
1599,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Julián Álvarez,19,ARG,"AM,RW",23-235,56,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,5dc7e234
1600,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Kalvin Phillips,4,ENG,"CM,DM",27-295,40,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,5dc7e234
1601,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Kyle Walker,2,ENG,RB,33-118,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,1,5dc7e234
1602,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Manuel Akanji,25,SUI,CB,28-066,90,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,1,0,5dc7e234
1603,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Matheus Nunes,27,POR,"DM,CM",25-027,90,2,1,0,2,0,1,2,50.0,1,1,1,0,0,2,3,0,5dc7e234
1604,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Nathan Aké,6,NED,LB,28-217,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5dc7e234
1605,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Phil Foden,47,ENG,"RW,CM,LW",23-118,86,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,2,0,5dc7e234
1606,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Rodri,16,ESP,DM,27-093,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,5dc7e234
1607,ENG-Premier League,2324,2023-09-23 Manchester City-Nott'ham Forest,Manchester City,Rúben Dias,3,POR,CB,26-132,90,0,0,0,0,0,0,0,,0,2,1,1,1,1,5,0,5dc7e234
1991,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Ederson,31,BRA,GK,30-044,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60ce29cd
